"","taxon","sample","depth","diversity_measure","value","lon","lat"
"280","sponges","20q17",20,"abundance",1,NA,NA
"281","sponges","20q17",20,"richness",1,NA,NA
"282","sponges","20q17",20,"sigma",0.0896093888935205,NA,NA
"283","sponges","20q18",20,"abundance",1,NA,NA
"284","sponges","20q18",20,"richness",1,NA,NA
"285","sponges","20q18",20,"sigma",0.0896093888935205,NA,NA
"286","sponges","20q19",20,"abundance",1,NA,NA
"287","sponges","20q19",20,"richness",1,NA,NA
"288","sponges","20q19",20,"sigma",0.0896093888935205,NA,NA
"289","sponges","20q2",20,"abundance",1,NA,NA
"290","sponges","20q2",20,"richness",1,NA,NA
"291","sponges","20q2",20,"sigma",0.0896093888935205,NA,NA
"292","sponges","20q20",20,"abundance",2,NA,NA
"293","sponges","20q20",20,"richness",2,NA,NA
"294","sponges","20q20",20,"sigma",0.107545684837639,NA,NA
"295","sponges","20q21",20,"abundance",1,NA,NA
"296","sponges","20q21",20,"richness",1,NA,NA
"297","sponges","20q21",20,"sigma",0.0896093888935205,NA,NA
"298","sponges","20q22",20,"abundance",3,NA,NA
"299","sponges","20q22",20,"richness",2,NA,NA
"300","sponges","20q22",20,"sigma",0.0150563559131666,NA,NA
"301","sponges","20q23",20,"abundance",0,NA,NA
"302","sponges","20q23",20,"richness",0,NA,NA
"303","sponges","20q23",20,"sigma",NA,NA,NA
"304","sponges","20q24",20,"abundance",0,NA,NA
"305","sponges","20q24",20,"richness",0,NA,NA
"306","sponges","20q24",20,"sigma",NA,NA,NA
"307","sponges","20q25",20,"abundance",0,NA,NA
"308","sponges","20q25",20,"richness",0,NA,NA
"309","sponges","20q25",20,"sigma",NA,NA,NA
"310","sponges","20q26",20,"abundance",2,NA,NA
"311","sponges","20q26",20,"richness",2,NA,NA
"312","sponges","20q26",20,"sigma",0.107545684837639,NA,NA
"313","sponges","20q27",20,"abundance",2,NA,NA
"314","sponges","20q27",20,"richness",2,NA,NA
"315","sponges","20q27",20,"sigma",0.107545684837639,NA,NA
"316","sponges","20q3",20,"abundance",0,NA,NA
"317","sponges","20q3",20,"richness",0,NA,NA
"318","sponges","20q3",20,"sigma",NA,NA,NA
"319","sponges","20q30",20,"abundance",0,NA,NA
"320","sponges","20q30",20,"richness",0,NA,NA
"321","sponges","20q30",20,"sigma",NA,NA,NA
"322","sponges","20q31",20,"abundance",0,NA,NA
"323","sponges","20q31",20,"richness",0,NA,NA
"324","sponges","20q31",20,"sigma",NA,NA,NA
"325","sponges","20q32",20,"abundance",2,NA,NA
"326","sponges","20q32",20,"richness",1,NA,NA
"327","sponges","20q32",20,"sigma",0.00941169561488163,NA,NA
"328","sponges","20q33",20,"abundance",0,NA,NA
"329","sponges","20q33",20,"richness",0,NA,NA
"330","sponges","20q33",20,"sigma",NA,NA,NA
"331","sponges","20q34",20,"abundance",1,NA,NA
"332","sponges","20q34",20,"richness",1,NA,NA
"333","sponges","20q34",20,"sigma",0.0896093888935205,NA,NA
"334","sponges","20q4",20,"abundance",1,NA,NA
"335","sponges","20q4",20,"richness",1,NA,NA
"336","sponges","20q4",20,"sigma",0.0896093888935205,NA,NA
"337","sponges","20q5",20,"abundance",0,NA,NA
"338","sponges","20q5",20,"richness",0,NA,NA
"339","sponges","20q5",20,"sigma",NA,NA,NA
"340","sponges","20q6",20,"abundance",4,NA,NA
"341","sponges","20q6",20,"richness",4,NA,NA
"342","sponges","20q6",20,"sigma",0.0151422846952663,NA,NA
"343","sponges","20q7",20,"abundance",0,NA,NA
"344","sponges","20q7",20,"richness",0,NA,NA
"345","sponges","20q7",20,"sigma",NA,NA,NA
"346","sponges","20q8",20,"abundance",0,NA,NA
"347","sponges","20q8",20,"richness",0,NA,NA
"348","sponges","20q8",20,"sigma",NA,NA,NA
"349","sponges","20q9",20,"abundance",1,NA,NA
"350","sponges","20q9",20,"richness",1,NA,NA
"351","sponges","20q9",20,"sigma",0.0896093888935205,NA,NA
"352","sponges","50q1",50,"abundance",2,NA,NA
"353","sponges","50q1",50,"richness",1,NA,NA
"354","sponges","50q1",50,"sigma",0.00941169561488163,NA,NA
"355","sponges","50q10",50,"abundance",5,NA,NA
"356","sponges","50q10",50,"richness",3,NA,NA
"357","sponges","50q10",50,"sigma",0.483210237665936,NA,NA
"358","sponges","50q11",50,"abundance",3,NA,NA
"359","sponges","50q11",50,"richness",1,NA,NA
"360","sponges","50q11",50,"sigma",0.00714895645970715,NA,NA
