Name,Site,Depth,Habitat,Orientation,Coral,Sponge,Other,Algae,Substrate
IMG_6706.20m.qua25.jpg,Oil Jetty,20,Shallow,HOR,41,1,0,9,49
IMG_6709.20m.qua26.jpg,Oil Jetty,20,Shallow,VER,12,21,0,0,67
IMG_6714.20m.qua27.jpg,Oil Jetty,20,Shallow,MID,14,0,5,19,62
IMG_6719.20m.qua28.jpg,Oil Jetty,20,Shallow,MID,28,11,1,8,52
IMG_6725.20m.qua29.jpg,Oil Jetty,20,Shallow,HOR,35,0,0,13,52
IMG_6734.20m.qua31.jpg,Oil Jetty,20,Shallow,HOR,7,0,0,3,90
IMG_6746.20m.32qua.jpg,Oil Jetty,20,Shallow,HOR,25,2,1,0,72
IMG_6750.20m.33qua.jpg,Oil Jetty,20,Shallow,MID,28,0,0,2,70
IMG_6754.20m.qua34.jpg,Oil Jetty,20,Shallow,HOR,18,14,0,1,67
IMG_6774.5m.qua.44.jpg,Oil Jetty,5,Shallow,HOR,24,0,1,1,74
IMG_6779.5m.qua.45.jpg,Oil Jetty,5,Shallow,HOR,42,0,0,1,57
IMG_6787qua.10m.1.jpg,Oil Jetty,10,Shallow,HOR,45,0,0,4,51
IMG_6794qua.10m.2.jpg,Oil Jetty,10,Shallow,HOR,16,0,0,0,84
IMG_6799qua.10m.3.jpg,Oil Jetty,10,Shallow,VER,34,0,8,6,52
IMG_6803qua.10m.4.jpg,Oil Jetty,10,Shallow,HOR,31,0,2,1,66
IMG_6807qua.10m.5.jpg,Oil Jetty,10,Shallow,HOR,24,0,0,2,74
IMG_6811qua.10m.6.jpg,Oil Jetty,10,Shallow,HOR,10,0,2,3,85
IMG_6816qua.10m.7.jpg,Oil Jetty,10,Shallow,HOR,40,1,0,2,57
IMG_6822qua.10m.8.jpg,Oil Jetty,10,Shallow,VER,20,2,1,3,74
IMG_6828qua.10m.9.jpg,Oil Jetty,10,Shallow,HOR,65,0,3,5,27
IMG_6833qua.10m.10.jpg,Oil Jetty,10,Shallow,HOR,32,0,2,1,65
IMG_6839qua.10m.11.jpg,Oil Jetty,10,Shallow,HOR,38,0,0,5,57
IMG_6844qua.10m.12.jpg,Oil Jetty,10,Shallow,HOR,25,2,1,3,69
IMG_6849qua.10m.13.jpg,Oil Jetty,10,Shallow,VER,20,0,2,24,54
IMG_6855qua.10m14.jpg,Oil Jetty,10,Shallow,VER,6,0,1,10,83
IMG_6861qua.10m.15.jpg,Oil Jetty,10,Shallow,VER,16,0,2,7,75
IMG_6869.10m.qua16.jpg,Oil Jetty,10,Shallow,VER,5,0,2,8,85
IMG_6873qua.10m.17.jpg,Oil Jetty,10,Shallow,VER,15,0,2,30,53
IMG_6878qua.10m.21.jpg,Oil Jetty,10,Shallow,VER,0,0,2,2,96
IMG_6890qua.10m.19.jpg,Oil Jetty,10,Shallow,VER,39,0,2,16,43
IMG_6894qua.10m.20.jpg,Oil Jetty,10,Shallow,VER,28,1,2,23,46
IMG_6899qua.10m.22.jpg,Oil Jetty,10,Shallow,HOR,14,2,1,12,71
IMG_6904qua.10m.23.jpg,Oil Jetty,10,Shallow,HOR,2,0,0,1,97
IMG_6907qua.10m.24.jpg,Oil Jetty,10,Shallow,HOR,15,2,3,7,73
IMG_6912qua.10m.25.jpg,Oil Jetty,10,Shallow,VER,30,0,4,19,47
IMG_6918qua.10m.26.jpg,Oil Jetty,10,Shallow,HOR,37,13,1,3,46
IMG_6924qua.10m.27.jpg,Oil Jetty,10,Shallow,MID,27,0,1,9,63
IMG_6932qua.10m.28.jpg,Oil Jetty,10,Shallow,VER,18,2,1,12,67
IMG_6936qua.10m.29.jpg,Oil Jetty,10,Shallow,VER,1,0,0,28,71
IMG_6939qua.10m.30.jpg,Oil Jetty,10,Shallow,VER,7,0,3,39,51
IMG_6943qua10m.31.jpg,Oil Jetty,10,Shallow,HOR,84,0,0,1,15
IMG_6945qua.10m.32.jpg,Oil Jetty,10,Shallow,HOR,24,0,0,6,70
IMG_6949.qua.10m.33.jpg,Oil Jetty,10,Shallow,HOR,21,3,4,7,65
